Step,Action,Node,Neighbor,ColorNode,ColorNeighbor
0,ColorStart,0,,0,
1,ColorAssign,0,13,0,1
2,ColorAssign,0,61,0,1
3,ColorAssign,0,68,0,1
4,ColorAssign,0,81,0,1
5,ColorAssign,0,84,0,1
6,ColorAssign,0,94,0,1
7,ColorAssign,0,97,0,1
8,ColorAssign,0,6,0,1
9,ColorAssign,0,12,0,1
10,ColorAssign,0,27,0,1
11,ColorAssign,0,28,0,1
12,ColorAssign,0,32,0,1
13,ColorAssign,0,51,0,1
14,ColorAssign,0,52,0,1
15,ColorAssign,0,56,0,1
16,ColorAssign,0,71,0,1
17,ColorAssign,0,82,0,1
18,ColorAssign,0,87,0,1
19,ColorAssign,0,93,0,1
20,ColorAssign,0,95,0,1
21,Conflict,13,6,1,1
